"id","round","game_date","venue_id","home_team_id","away_team_id","season_year","afltables_game_id","home_score_str","away_score_str","home_score_goals","home_score_behinds","home_score_total","away_score_goals","away_score_behinds","away_score_total","margin","home_result","away_result"
13358,"R3","2010-04-09",14,20709,20158,2010,13594,"10.9.69","4.17.41",10,9,69,4,17,41,28,"W","L"
13359,"R3","2010-04-10",14,20525,20894,2010,13595,"17.14.116","13.13.91",17,14,116,13,13,91,25,"W","L"
13360,"R3","2010-04-10",1323,20893,5,2010,13596,"11.15.81","16.12.108",11,15,81,16,12,108,27,"L","W"
13361,"R3","2010-04-10",4,19974,20434,2010,13597,"10.15.75","13.17.95",10,15,75,13,17,95,20,"L","W"
13362,"R3","2010-04-10",1,19882,20065,2010,13598,"16.15.111","7.14.56",16,15,111,7,14,56,55,"W","L"
13363,"R3","2010-04-11",4,19881,20617,2010,13599,"7.15.57","5.11.41",7,15,57,5,11,41,16,"W","L"
13364,"R3","2010-04-11",14,20802,20433,2010,13600,"14.16.100","12.12.84",14,16,100,12,12,84,16,"W","L"
13365,"R3","2010-04-11",1325,20986,20710,2010,13601,"18.17.125","17.16.118",18,17,125,17,16,118,7,"W","L"
13366,"R4","2010-04-16",1325,20894,20434,2010,13602,"15.11.101","11.12.78",15,11,101,11,12,78,23,"W","L"
13367,"R4","2010-04-17",14,20525,19882,2010,13603,"8.12.60","14.16.100",8,12,60,14,16,100,40,"L","W"
13368,"R4","2010-04-17",1323,20617,19974,2010,13604,"6.19.55","16.7.103",6,19,55,16,7,103,48,"L","W"
13369,"R4","2010-04-17",4,20158,20433,2010,13605,"17.21.123","8.11.59",17,21,123,8,11,59,64,"W","L"
13370,"R4","2010-04-17",2,5,20802,2010,13606,"13.23.101","12.7.79",13,23,101,12,7,79,22,"W","L"
13371,"R4","2010-04-18",4,20065,19881,2010,13607,"11.12.78","20.13.133",11,12,78,20,13,133,55,"L","W"
13372,"R4","2010-04-18",7,20710,20893,2010,13608,"23.21.159","10.4.64",23,21,159,10,4,64,95,"W","L"
13373,"R4","2010-04-18",14,20709,20986,2010,13609,"16.12.108","14.9.93",16,12,108,14,9,93,15,"W","L"
13374,"R5","2010-04-23",14,20802,20617,2010,13610,"18.13.121","10.12.72",18,13,121,10,12,72,49,"W","L"
13375,"R5","2010-04-24",1,19882,20894,2010,13611,"17.13.115","9.9.63",17,13,115,9,9,63,52,"W","L"
13376,"R5","2010-04-24",4,19881,5,2010,13612,"15.13.103","7.11.53",15,13,103,7,11,53,50,"W","L"
13377,"R5","2010-04-24",1323,20893,20709,2010,13613,"7.12.54","6.8.44",7,12,54,6,8,44,10,"W","L"
13378,"R5","2010-04-25",4,20158,20434,2010,13614,"18.12.120","8.7.55",18,12,120,8,7,55,65,"W","L"
13379,"R5","2010-04-25",68,20433,20525,2010,13615,"10.10.70","12.10.82",10,10,70,12,10,82,12,"L","W"
13342,"R1","2010-03-25",4,20065,19974,2010,13578,"9.10.64","18.12.120",9,10,64,18,12,120,56,"L","W"
13380,"R5","2010-04-25",1325,20986,20065,2010,13616,"15.22.112","11.7.73",15,22,112,11,7,73,39,"W","L"
13381,"R5","2010-04-26",4,19974,20710,2010,13617,"15.14.104","9.14.68",15,14,104,9,14,68,36,"W","L"
13382,"R6","2010-04-30",14,20802,20709,2010,13618,"6.10.46","7.7.49",6,10,46,7,7,49,3,"L","W"
13392,"R7","2010-05-08",1325,20894,20433,2010,13628,"15.12.102","14.10.94",15,12,102,14,10,94,8,"W","L"
13408,"R9","2010-05-22",1,19882,20986,2010,13644,"9.9.63","14.16.100",9,9,63,14,16,100,37,"L","W"
13393,"R7","2010-05-08",4,20158,20525,2010,13629,"23.19.157","14.7.91",23,19,157,14,7,91,66,"W","L"
13394,"R7","2010-05-08",2,5,20986,2010,13630,"15.10.100","15.23.113",15,10,100,15,23,113,13,"L","W"
13409,"R9","2010-05-22",70,19881,20893,2010,13645,"17.9.111","16.14.110",17,9,111,16,14,110,1,"W","L"
13395,"R7","2010-05-09",7,20710,19882,2010,13631,"19.12.126","9.5.59",19,12,126,9,5,59,67,"W","L"
13396,"R7","2010-05-09",1323,20617,20065,2010,13632,"15.14.104","7.12.54",15,14,104,7,12,54,50,"W","L"
13410,"R9","2010-05-22",4,20434,20065,2010,13646,"19.16.130","14.11.95",19,16,130,14,11,95,35,"W","L"
13397,"R7","2010-05-10",14,20709,19974,2010,13633,"9.14.68","20.9.129",9,14,68,20,9,129,61,"L","W"
13398,"R8","2010-05-14",1325,20986,20158,2010,13634,"15.7.97","20.13.133",15,7,97,20,13,133,36,"L","W"
13411,"R9","2010-05-23",1323,20617,5,2010,13647,"13.15.93","11.15.81",13,15,93,11,15,81,12,"W","L"
13399,"R8","2010-05-15",225,20802,19882,2010,13635,"14.17.101","9.9.63",14,17,101,9,9,63,38,"W","L"
13400,"R8","2010-05-15",4,19881,20894,2010,13636,"6.10.46","10.15.75",6,10,46,10,15,75,29,"L","W"
13412,"R9","2010-05-23",14,19974,20433,2010,13648,"8.12.60","16.14.110",8,12,60,16,14,110,50,"L","W"
13401,"R8","2010-05-15",14,20525,20617,2010,13637,"12.12.84","11.9.75",12,12,84,11,9,75,9,"W","L"
13402,"R8","2010-05-15",2,5,20710,2010,13638,"10.14.74","24.11.155",10,14,74,24,11,155,81,"L","W"
13413,"R9","2010-05-23",1325,20894,20709,2010,13649,"8.8.56","13.13.91",8,8,56,13,13,91,35,"L","W"
13403,"R8","2010-05-16",4,20065,20433,2010,13639,"13.8.86","13.11.89",13,8,86,13,11,89,3,"L","W"
13404,"R8","2010-05-16",1323,20893,19974,2010,13640,"14.8.92","17.16.118",14,8,92,17,16,118,26,"L","W"
13414,"R10","2010-05-28",14,20434,20802,2010,13650,"15.9.99","14.6.90",15,9,99,14,6,90,9,"W","L"
13405,"R8","2010-05-16",14,20709,20434,2010,13641,"11.15.81","14.9.93",11,15,81,14,9,93,12,"L","W"
13406,"R9","2010-05-21",4,20158,20710,2010,13642,"6.14.50","12.14.86",6,14,50,12,14,86,36,"L","W"
13415,"R10","2010-05-29",7,20710,19881,2010,13651,"18.13.121","10.7.67",18,13,121,10,7,67,54,"W","L"
13407,"R9","2010-05-22",14,20525,20802,2010,13643,"7.15.57","20.7.127",7,15,57,20,7,127,70,"L","W"
13416,"R10","2010-05-29",1323,20893,20065,2010,13652,"3.12.30","10.17.77",3,12,30,10,17,77,47,"L","W"
13417,"R10","2010-05-29",14,20709,20617,2010,13653,"19.9.123","12.4.76",19,9,123,12,4,76,47,"W","L"
13441,"R13","2010-06-20",14,20525,20893,2010,13677,"19.15.129","14.9.93",19,15,129,14,9,93,36,"W","L"
13442,"R13","2010-06-20",1325,20894,20802,2010,13678,"9.5.59","17.17.119",9,5,59,17,17,119,60,"L","W"
13443,"R13","2010-06-25",4,20709,20710,2010,13679,"10.10.70","6.10.46",10,10,70,6,10,46,24,"W","L"
13444,"R13","2010-06-26",1321,19882,20158,2010,13680,"10.11.71","13.18.96",10,11,71,13,18,96,25,"L","W"
13445,"R13","2010-06-27",1323,20617,19881,2010,13681,"16.21.117","11.7.73",16,21,117,11,7,73,44,"W","L"
13446,"R14","2010-07-01",14,19974,5,2010,13682,"18.12.120","9.11.65",18,12,120,9,11,65,55,"W","L"
13447,"R14","2010-07-02",4,20433,20802,2010,13683,"12.7.79","11.10.76",12,7,79,11,10,76,3,"W","L"
13448,"R14","2010-07-03",1325,20986,20893,2010,13684,"17.13.115","8.10.58",17,13,115,8,10,58,57,"W","L"
13449,"R14","2010-07-03",14,20158,20894,2010,13685,"20.15.135","7.10.52",20,15,135,7,10,52,83,"W","L"
13450,"R14","2010-07-03",1323,20617,20434,2010,13686,"19.10.124","5.10.40",19,10,124,5,10,40,84,"W","L"
13451,"R14","2010-07-04",7,20710,20525,2010,13687,"14.14.98","9.9.63",14,14,98,9,9,63,35,"W","L"
13452,"R14","2010-07-04",4,20065,19882,2010,13688,"14.5.89","12.13.85",14,5,89,12,13,85,4,"W","L"
13453,"R14","2010-07-04",14,20709,19881,2010,13689,"15.10.100","9.11.65",15,10,100,9,11,65,35,"W","L"
13454,"R15","2010-07-09",1323,20893,20158,2010,13690,"12.7.79","16.9.105",12,7,79,16,9,105,26,"L","W"
13455,"R15","2010-07-10",4,20710,20433,2010,13691,"12.13.85","11.17.83",12,13,85,11,17,83,2,"W","L"
13474,"R17","2010-07-24",1325,20894,19974,2010,13710,"11.17.83","15.19.109",11,17,83,15,19,109,26,"L","W"
13475,"R17","2010-07-25",14,20802,20986,2010,13711,"24.14.158","12.4.76",24,14,158,12,4,76,82,"W","L"
13456,"R15","2010-07-10",1325,20894,20617,2010,13692,"14.11.95","17.15.117",14,11,95,17,15,117,22,"L","W"
13457,"R15","2010-07-10",14,20065,20986,2010,13693,"15.10.100","11.15.81",15,10,100,11,15,81,19,"W","L"
13458,"R15","2010-07-10",2,5,20709,2010,13694,"10.5.65","11.13.79",10,5,65,11,13,79,14,"L","W"
13459,"R15","2010-07-11",1,19882,20525,2010,13695,"12.13.85","7.13.55",12,13,85,7,13,55,30,"W","L"
13460,"R15","2010-07-11",4,19881,20434,2010,13696,"19.8.122","14.19.103",19,8,122,14,19,103,19,"W","L"
13461,"R15","2010-07-11",14,19974,20802,2010,13697,"8.10.58","20.6.126",8,10,58,20,6,126,68,"L","W"
